"resource_id"	"resource_name"	"url"	"resource_type"	"description"	"project_id"	"test"
16	"CoGAPS"	"http://www.cancerbiostats.onc.jhmi.edu/cogaps.cfm"	"Tool"	"An R/C++ package to identify patterns and biological process activity in transcriptomic data"	1	"test"
17	"PolyMarker"	"http://polymarker.tgac.ac.uk"	"Tool"	"A fast polyploid primer design pipeline"	1	"test"
18	"GppFst"	"https://github.com/radamsRHA/GppFst"	"Tool"	"Genomic posterior predictive simulations of F and d for identifying outlier loci from population genomic data"	1	"test"
19	"MultiQC"	"http://multiqc.info"	"Tool"	"Summarize analysis results for multiple tools and samples in a single report"	1	"test"
20	"MicrobiomeAnalyst"	"http://www.microbiomeanalyst.ca"	"Tool"	"A web-based tool for comprehensive statistical, visual and meta-analysis of microbiome data"	1	"test"
21	"Sushi.R"	"http://bioconductor.org/packages/release/bioc/html/Sushi.html"	"Tool"	"Flexible, quantitative and integrative genomic visualizations for publication-quality multi-panel figures"	1	"test"
22	"STAR"	"http://code.google.com/p/rna-star/"	"Tool"	"Ultrafast universal RNA-seq aligner"	1	"test"
23	"Minimap and miniasm"	"https://github.com/lh3/minimap"	"Tool"	"Fast mapping and de novo assembly for noisy long sequences"	1	"test"
24	"SEQanswers"	"http://SEQanswers.com/"	"Tool"	"An open access community for collaboratively decoding genomes"	1	"test"
25	"BRAKER1"	"http://bioinf.uni-greifswald.de/bioinf/braker/"	"Tool"	"Unsupervised RNA-Seq-Based Genome Annotation with GeneMark-ET and AUGUSTUS"	1	"test"
26	"HiPub"	"http://hipub.korea.ac.kr"	"Tool"	"Translating PubMed and PMC texts to networks for knowledge discovery"	1	"test"
27	"systemsDock"	"http://systemsdock.unit.oist.jp/"	"Tool"	"A web server for network pharmacology-based prediction and analysis"	1	"test"
28	"HPMCD"	"http://www.hpmcd.org/"	"Tool"	"The database of human microbial communities from metagenomic datasets and microbial reference genomes"	1	"test"
29	"EvoCor"	"http://pilot-hmm.vbi.vt.edu/"	"Tool"	"A platform for predicting functionally related genes using phylogenetic and expression profiles"	1	"test"
30	"Tools and data services registry"	"https://bio.tools"	"Tool"	"A community effort to document bioinformatics resources"	1	"test"
31	"GAM"	"https://artyomovlab.wustl.edu/shiny/gam/"	"Tool"	"A web-service for integrated transcriptional and metabolic network analysis"	1	"test"
32	"DIVAS"	"https://rvs.u.hpc.mssm.edu/divas"	"Tool"	"A centralized genetic variant repository representing 150,000 individuals from multiple disease cohorts"	1	"test"
33	"Poretools"	"https://www.github.com/arq5x/poretools"	"Tool"	"A toolkit for analyzing nanopore sequence data"	1	"test"
34	"SPA"	"http://bioinf.spbau.ru/en/spades"	"Tool"	"An algorithm for hybrid assembly of short and long reads"	1	"test"
35	"Sambamba"	"http://www.open-bio.org/wiki/Sambamba"	"Tool"	"Fast processing of NGS alignment formats"	1	"test"
36	"Goldilocks"	"https://goldilocks.readthedocs.org"	"Tool"	"A tool for identifying genomic regions that are ‘just right’"	1	"test"
37	"The Gene Expression Barcode 3.0"	"http://barcode.luhs.org"	"Tool"	"Improved data processing and mining tools"	1	"test"
38	"PALADIN"	"https://github.com/twestbrookunh/paladin"	"Tool"	"Protein alignment for functional profiling whole metagenome shotgun data"	1	"test"
39	"LimTox"	"http://limtox.bioinfo.cnio.es"	"Tool"	"A web tool for applied text mining of adverse event and toxicity associations of compounds, drugs and genes"	1	"test"
40	"GLAD"	"http://genomics.wpi.edu/glad/"	"Tool"	"A mixed-membership model for heterogeneous tumor subtype classification"	1	"test"
41	"The Naked Mole Rat Genome Resource"	"https://github.com/maglab/naked-mole-rat-portal"	"Tool"	"Facilitating analyses of cancer and longevity-related adaptations"	1	"test"
42	"poRe"	"http://sourceforge.net/projects/rpore/"	"Tool"	"An R package for the visualization and analysis of nanopore sequencing data"	1	"test"
43	"Bandage"	"https://github.com/rrwick/Bandage"	"Tool"	"Interactive visualization of de novo genome assemblies"	1	"test"
44	"BGT"	"https://github.com/lh3/bgt"	"Tool"	"Efficient and flexible genotype query across many samples"	1	"test"
45	"Prokka"	"http://vicbioinformatics.com/"	"Tool"	"Rapid prokaryotic genome annotation"	1	"test"
46	"KAT"	"https://github.com/TGAC/KAT"	"Tool"	"A K-mer analysis toolkit to quality control NGS datasets and genome assemblies"	1	"test"
47	"GeNemo"	"http://www.genemo.org"	"Tool"	"A search engine for web-based functional genomic data"	1	"test"
48	"QUAST"	"http://bioinf.spbau.ru/quast"	"Tool"	"Quality assessment tool for genome assemblies"	1	"test"
49	"RapMap"	"https://github.com/COMBINE-lab/RapMap"	"Tool"	"A rapid, sensitive and accurate tool for mapping RNA-seq reads to transcriptomes"	1	"test"
50	"AraPheno"	"https://arapheno.1001genomes.org"	"Tool"	"A public database for Arabidopsis thaliana phenotypes"	1	"test"
51	"phylogeo"	"http://zachcp.github.io/phylogeo"	"Tool"	"An R package for geographic analysis and visualization of microbiome data"	1	"test"
52	"Calypso"	"http://cgenome.net/calypso/"	"Tool"	"A user-friendly web-server for mining and visualizing microbiome–environment interactions"	1	"test"
53	"SOAPdenovo-Trans"	"http://sourceforge.net/projects/soapdenovotrans/"	"Tool"	"De novo transcriptome assembly with short RNA-Seq reads"	1	"test"
54	"BrainScope"	"http://www.brainscope.nl"	"Tool"	"Interactive visual exploration of the spatial and temporal human brain transcriptome"	1	"test"
55	"MEGAHIT"	"https://github.com/voutcn/megahit"	"Tool"	"An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph"	1	"test"
56	"UKPMC"	"http://ukpmc.ac.uk"	"Tool"	"A full text article resource for the life sciences"	1	"test"
57	"The QDREC web server"	"http://tintin.sfsu.edu/projects/phenotypicAssays.html"	"Tool"	"Determining dose–response characteristics of complex macroparasites in phenotypic drug screens"	1	"test"
58	"PRINCESS"	"https://github.com/achenfengb/PRINCESS_opensource"	"Tool"	"Privacy-protecting Rare disease International Network Collaboration via Encryption through Software guard extensionS"	1	"test"
59	"Roary"	"http://sanger-pathogens.github.io/Roary"	"Tool"	"Rapid large-scale prokaryote pan genome analysis"	1	"test"
60	"Omics Pipe"	"https://pypi.python.org/pypi/omics_pipe"	"Tool"	"A community-based framework for reproducible multi-omics data analysis"	1	"test"
61	"World data centre for microorganisms"	"http://www.wdcm.org"	"Tool"	"An information infrastructure to explore and utilize preserved microbial strains worldwide"	1	"test"
62	"DNAApp"	"http://www.bii.a-star.edu.sg/research/trd/apd.php"	"Tool"	"A mobile application for sequencing data analysis"	1	"test"
63	"The EBI RDF platform"	"http://www.ebi.ac.uk/rdf"	"Tool"	"Linked open data for the life sciences"	1	"test"
64	"GenVisR"	"https://github.com/griffithlab/GenVisR/issues"	"Tool"	"Genomic Visualizations in R"	1	"test"
65	"BamHash"	"https://github.com/DecodeGenetics/BamHash"	"Tool"	"A checksum program for verifying the integrity of sequence data"	1	"test"
66	"DriverDBv2"	"http://ngs.ym.edu.tw/driverdb"	"Tool"	"A database for human cancer driver gene research"	1	"test"
67	"The ExAC browser"	"http://exac.broadinstitute.org"	"Tool"	"Displaying reference data information from over 60 000 exomes"	1	"test"
68	"SureChEMBL"	"https://www.surechembl.org/"	"Tool"	"A large-scale, chemically annotated patent document database"	1	"test"
69	"phyloSkeleton"	"https://bitbucket.org/lionelguy/phyloskeleton/"	"Tool"	"Taxon selection, data retrieval and marker identification for phylogenomics"	1	"test"
70	"Scater"	"http://bioconductor.org/packages/scater"	"Tool"	"Pre-processing, quality control, normalization and visualization of single-cell RNA-seq data in R"	1	"test"
71	"DeepEM3D"	"https://github.com/divelab/deepem3d/"	"Tool"	"Approaching human-level performance on 3D anisotropic EM image segmentation"	1	"test"
72	"BioPig"	"https://sites.google.com/a/lbl.gov/biopig/"	"Tool"	"A Hadoop-based analytic toolkit for large-scale sequence data"	1	"test"
73	"DSK"	"http://minia.genouest.org/dsk"	"Tool"	"K-mer counting with very low memory usage"	1	"test"
74	"subSeq"	"http://github.com/StoreyLab/subSeq/"	"Tool"	"Determining Appropriate Sequencing Depth Through Efficient Read Subsampling"	1	"test"
75	"NOREVA"	"http://server.idrb.cqu.edu.cn/noreva/"	"Tool"	"Normalization and evaluation of MS-based metabolomics data"	1	"test"
76	"WiggleTools"	"http://www.github.com/Ensembl/Wiggletools"	"Tool"	"Parallel processing of large collections of genome-wide datasets for visualization and statistical analysis"	1	"test"
77	"NextGenMap"	"http://cibiv.github.io/NextGenMap/"	"Tool"	"Fast and accurate read mapping in highly polymorphic genomes"	1	"test"
78	"DOSE"	"http://www.bioconductor.org/packages/release/bioc/html/DOSE.html"	"Tool"	"An R/Bioconductor package for disease ontology semantic and enrichment analysis"	1	"test"
79	"SplitMEM"	"http://splitmem.sourceforge.net"	"Tool"	"A graphical algorithm for pan-genome analysis with suffix skips"	1	"test"
80	"bdvis"	"http://cran.r-project.org/web/packages/bdvis/index.html"	"Tool"	"Visualizing biodiversity data in R"	1	"test"
81	"Polyester"	"http://bioconductor.org/"	"Tool"	"Simulating RNA-seq datasets with differential transcript expression"	1	"test"
82	"CLAMMS"	"https://github.com/rgcgithub/clamms"	"Tool"	"A scalable algorithm for calling common and rare copy number variants from exome sequencing data"	1	"test"
83	"GenomeScope"	"https://github.com/schatzlab/genomescope.git"	"Tool"	"Fast reference-free genome profiling from short reads"	1	"test"
84	"RAMPART"	"http://rampart.readthedocs.org/en/latest"	"Tool"	"A workflow management system for de novo genome assembly"	1	"test"
85	"MOCAT2"	"http://mocat.embl.de"	"Tool"	"A metagenomic assembly, annotation and profiling framework"	1	"test"
86	"Manta"	"https://github.com/Illumina/manta"	"Tool"	"Rapid detection of structural variants and indels for germline and cancer sequencing applications"	1	"test"
87	"shinyGEO"	"http://gdancik.github.io/shinyGEO/"	"Tool"	"A web-based application for analyzing gene expression omnibus datasets"	1	"test"
88	"Genomic dark matter"	"http://gma-bio.sourceforge.net"	"Tool"	"The reliability of short read mapping illustrated by the genome mappability score"	1	"test"
89	"RNA-Skim"	"http://www.csbio.unc.edu/rs"	"Tool"	"A rapid method for RNA-Seq quantification at transcript level"	1	"test"
90	"RNAseqViewer"	"http://bioinfo.au.tsinghua.edu.cn/software/RNAseqViewer/"	"Tool"	"Visualization tool for RNA-Seq data"	1	"test"
91	"Phylesystem"	"http://github.com/"	"Tool"	"A git-based data store for community-curated phylogenetic estimates"	1	"test"
92	"FireDB"	"http://firedb.bioinfo.cnio.es"	"Tool"	"A compendium of biological and pharmacologically relevant ligands"	1	"test"
93	"FLOR-ID"	"http://www.flor-id.org"	"Tool"	"An interactive database of flowering-time gene networks in Arabidopsis thaliana"	1	"test"
94	"Open Targets"	"https://www.targetvalidation.org"	"Tool"	"A platform for therapeutic target identification and validation"	1	"test"
95	"Blue"	"http://www.bioinformatics.csiro.au/Blue"	"Tool"	"Correcting sequencing errors using consensus and context"	1	"test"
96	"Trimmomatic"	"http://www.usadellab.org/cms/index.php?page=trimmomatic"	"Tool"	"A flexible trimmer for Illumina sequence data"	1	"test"
97	"GenomeD3Plot"	"https://github.com/brinkmanlab/GenomeD3Plot/"	"Tool"	"A library for rich, interactive visualizations of genomic data in web applications"	1	"test"
98	"OntoMaton"	"https://github.com/ISA-tools/OntoMaton"	"Tool"	"A Bioportal powered ontology widget for Google Spreadsheets"	1	"test"
99	"Canvas"	"https://github.com/Illumina/canvas"	"Tool"	"Versatile and scalable detection of copy number variants"	1	"test"
100	"BatchQC"	"https://github.com/mani2012/BatchQC"	"Tool"	"Interactive software for evaluating sample and batch effects in genomic data"	1	"test"
101	"MaxBin 2.0"	"http://sourceforge.net/projects/maxbin/"	"Tool"	"An automated binning algorithm to recover genomes from multiple metagenomic datasets"	1	"test"
102	"The RNA workbench"	"https://github.com/bgruening/galaxy-rna-workbench"	"Tool"	"Best practices for RNA and high-throughput sequencing bioinformatics in Galaxy"	1	"test"
103	"DUDes"	"http://sf.net/p/dudes"	"Tool"	"A top-down taxonomic profiler for metagenomics"	1	"test"
104	"BigDataScript"	"http://pcingola.github.io/BigDataScript"	"Tool"	"A scripting language for data pipelines"	1	"test"
105	"CRISPRdirect"	"http://crispr.dbcls.jp/"	"Tool"	"Software for designing CRISPR/Cas guide RNA with reduced off-target sites"	1	"test"
106	"Utopia documents"	"http://www.biochemj.org/bj/424/3/"	"Tool"	"Linking scholarly literature with research data"	1	"test"
107	"BioJS"	"http://code.google.com/p/biojs/"	"Tool"	"An open source JavaScript framework for biological data visualization"	1	"test"
108	"GeneFriends"	"http://www.GeneFriends.org"	"Tool"	"A human RNA-seq-based gene and transcript co-expression database"	1	"test"
109	"Phyx"	"https://github.com/FePhyFoFum/phyx"	"Tool"	"Phylogenetic tools for unix"	1	"test"
110	"Rust-Bio"	"https://rust-bio.github.io"	"Tool"	"A fast and safe bioinformatics library"	1	"test"
111	"tmVar"	"http://www.ncbi.nlm.nih.gov/CBBresearch/Lu/pub/tmVar"	"Tool"	"A text mining approach for extracting sequence variants in biomedical literature"	1	"test"
112	"GOplot"	"http://cran.r-project.org/web/packages/GOplot"	"Tool"	"An R package for visually combining expression data with functional analysis"	1	"test"
113	"Bioclojure"	"https://github.com/s312569/clj-biosequence"	"Tool"	"A functional library for the manipulation of biological sequences"	1	"test"
114	"The Gene Wiki in 2011"	"http://en.wikipedia.org/wiki/Portal:Gene_Wiki"	"Tool"	"Community intelligence applied to human gene annotation"	1	"test"
115	"ChIPseeker"	"http://www.bioconductor.org/packages/release/bioc/html/ChIPseeker.html"	"Tool"	"An R/Bioconductor package for ChIP peak annotation, comparison and visualization"	1	"test"
116	"Assemblytics"	"http://assemblytics.com"	"Tool"	"A web analytics tool for the detection of variants from an assembly"	1	"test"
117	"The sequence read archive"	"http://www.ebi.ac.uk/ena"	"Tool"	"Explosive growth of sequencing data"	1	"test"
118	"PHASTER"	"http://www.phaster.ca"	"Tool"	"A better, faster version of the PHAST phage search tool"	1	"test"
119	"Cytoscape.js"	"http://js.cytoscape.org"	"Tool"	"A graph theory library for visualisation and analysis"	1	"test"
120	"J-Circos"	"http://www.australianprostatecentre.org/research/software/jcircos"	"Tool"	"An interactive Circos plotter"	1	"test"
121	"1000 Genomes Selection Browser 1.0"	"http://hsb.upf.edu"	"Tool"	"A genome browser dedicated to signatures of natural selection in modern humans"	1	"test"
122	"rnaQUAST"	"http://bioinf.spbau.ru/en/rnaquast"	"Tool"	"A quality assessment tool for de novo transcriptome assemblies"	1	"test"
123	"The eSNV-detect"	"http://bioinformaticstools.mayo.edu/research/esnv-detect/"	"Tool"	"A computational system to identify expressed single nucleotide variants from transcriptome sequencing data"	1	"test"
124	"kmer-SVM"	"http://kmersvm.beerlab.org"	"Tool"	"A web server for identifying predictive regulatory sequence features in genomic data sets"	1	"test"
125	"FermiKit"	"https://github.com/lh3/fermikit"	"Tool"	"Assembly-based variant calling for Illumina resequencing data"	1	"test"
126	"canSAR"	"http://cansar.icr.ac.uk"	"Tool"	"An integrated cancer public translational research and drug discovery resource"	1	"test"
127	"RNAcentral"	"http://rnacentral.org"	"Tool"	"An international database of ncRNA sequences"	1	"test"
128	"MetaQUAST"	"http://bioinf.spbau.ru/metaquast"	"Tool"	"Evaluation of metagenome assemblies"	1	"test"
129	"G-BLASTN"	"http://www.comp.hkbu.edu.hk/~chxw/software/G-BLASTN.html"	"Tool"	"Accelerating nucleotide alignment by graphics processors"	1	"test"
130	"SeqGSEA"	"http://bioconductor.org/packages/release/bioc/html/SeqGSEA.html"	"Tool"	"A Bioconductor package for gene set enrichment analysis of RNA-Seq data integrating differential expression and splicing"	1	"test"
131	"ChimeRScope"	"https://galaxy.unmc.edu/"	"Tool"	"A novel alignment-free algorithm for fusion transcript prediction using paired-end RNA-Seq data"	1	"test"
132	"An update on LNCipedia"	"http://www.lncipedia.org"	"Tool"	"A database for annotated human lncRNA sequences"	1	"test"
133	"The Stem Cell Discovery Engine"	"http://discovery.hsci.harvard.edu"	"Tool"	"An integrated repository and analysis system for cancer stem cell comparisons"	1	"test"
134	"The Pfam protein families database"	"http://pfam.xfam.org"	"Tool"	"Towards a more sustainable future"	1	"test"
135	"QuasR"	"http://www.bioconductor.org/packages/release/bioc/html/QuasR.html"	"Tool"	"Quantification and annotation of short reads in R"	1	"test"
136	"cyNeo4j"	"http://www.github.com/gsummer/cyneo4j-parent"	"Tool"	"Connecting Neo4j and Cytoscape"	1	"test"
137	"Shiny-phyloseq"	"http://joey711.github.io/shiny-phyloseq/"	"Tool"	"Web application for interactive microbiome analysis with provenance tracking"	1	"test"
138	"PRADA"	"http://sourceforge.net/projects/prada/"	"Tool"	"Pipeline for RNA sequencing data analysis"	1	"test"
139	"gargammel"	"https://grenaud.github.io/gargammel/"	"Tool"	"A sequence simulator for ancient DNA"	1	"test"
140	"Genome compression"	"http://sun.aei.polsl.pl/tgc"	"Tool"	"A novel approach for large collections"	1	"test"
141	"Creating reusable tools from scripts"	"https://bitbucket.org/fubar/galaxytoolfactory"	"Tool"	"The Galaxy Tool Factory"	1	"test"
142	"kSNP3.0"	"https://sourceforge.net/projects/ksnp/files/"	"Tool"	"SNP detection and phylogenetic analysis of genomes without genome alignment or reference genome"	1	"test"
143	"MUSCLE"	"http://www.muscleproject.org"	"Tool"	"Automated multi-objective evolutionary optimization of targeted LC-MS/MS analysis"	1	"test"
144	"Isaac"	"https://github.com/sequencing"	"Tool"	"Ultra-fast whole-genome secondary analysis on Illumina sequencing platforms"	1	"test"
145	"Hierarchical boosting"	"http://hsb.upf.edu/"	"Tool"	"A machine-learning framework to detect and classify hard selective sweeps in human populations"	1	"test"
146	"BioBlend"	"https://github.com/afgane/bioblend"	"Tool"	"Automating pipeline analyses within Galaxy and CloudMan"	1	"test"
147	"JRC GMO-Amplicons"	"http://gmo-crl.jrc.ec.europa.eu/jrcgmoamplicons/"	"Tool"	"A collection of nucleic acid sequences related to genetically modified organisms"	1	"test"
148	"CrossHub"	"https://sourceforge.net/projects/crosshub/"	"Tool"	"A tool for multi-way analysis of The Cancer Genome Atlas (TCGA) in the context of gene expression regulation mechanisms"	1	"test"
149	"The international Genome sample resource (IGSR)"	"http://www.internationalgenome.org"	"Tool"	"A worldwide collection of genome variation incorporating the 1000 Genomes Project data"	1	"test"
150	"ASCIIGenome"	"https://github.com/dariober/ASCIIGenome"	"Tool"	"A command line genome browser for console terminals"	1	"test"
151	"dendextend"	"http://cran.r-project.org/package=dendextend"	"Tool"	"An R package for visualizing, adjusting and comparing trees of hierarchical clustering"	1	"test"
152	"PyRAD"	"http://www.dereneaton.com/software/"	"Tool"	"Assembly of de novo RADseq loci for phylogenetic analyses"	1	"test"
153	"LoFreq"	"http://sourceforge.net/projects/lofreq/"	"Tool"	"A sequence-quality aware, ultra-sensitive variant caller for uncovering cell-population heterogeneity from high-throughput sequencing datasets"	1	"test"
154	"Heat*seq"	"http://www.heatstarseq.roslin.ed.ac.uk/"	"Tool"	"An interactive web tool for high-throughput sequencing experiment comparison with public data"	1	"test"
155	"RCAS"	"http://bioconductor.org/packages/release/bioc/html/RCAS.html"	"Tool"	"An RNA centric annotation system for transcriptome-wide regions of interest"	1	"test"
156	"SPOCS"	"http://cbb.pnnl.gov/portal/software/spocs.html"	"Tool"	"Software for predicting and visualizing orthology/paralogy relationships among genomes"	1	"test"
157	"BigBWA"	"https://github.com/citiususc/BigBWA"	"Tool"	"Approaching the Burrows–Wheeler aligner to Big Data technologies"	1	"test"
158	"BioFVM"	"http://BioFVM.MathCancer.org"	"Tool"	"An efficient, parallelized diffusive transport solver for 3-D biological simulations"	1	"test"
159	"FuMa"	"https://github.com/ErasmusMC-Bioinformatics/fuma"	"Tool"	"Reporting overlap in RNA-seq detected fusion genes"	1	"test"
160	"AGGRESCAN3D (A3D)"	"http://biocomp.chem.uw.edu.pl/A3D/"	"Tool"	"Server for prediction of aggregation properties of protein structures"	1	"test"
161	"SAMstrt"	"https://github.com/shka/R-SAMstrt"	"Tool"	"Statistical test for differential expression in single-cell transcriptome with spike-in normalization"	1	"test"
162	"FlashPCA2"	"https://github.com/gabraham/flashpca"	"Tool"	"Principal component analysis of Biobank-scale genotype datasets"	1	"test"
163	"deBGR"	"https://github.com/splatlab/debgr"	"Tool"	"An efficient and near-exact representation of the weighted de Bruijn graph"	1	"test"
164	"PaxtoolsR"	"http://www.bioconductor.org/packages/paxtoolsr"	"Tool"	"Pathway analysis in R using Pathway Commons"	1	"test"
165	"AlignGraph"	"https://github.com/baoe/AlignGraph"	"Tool"	"Algorithm for secondary de novo genome assembly guided by closely related references"	1	"test"
166	"Sigma"	"http://sigma.omicsbio.org"	"Tool"	"Strain-level inference of genomes from metagenomic analysis for biosurveillance"	1	"test"
167	"UniProt"	"http://www.uniprot.org/"	"Tool"	"A hub for protein information"	1	"test"
168	"Hadoop-BAM"	"http://sourceforge.net/projects/hadoop-bam/"	"Tool"	"Directly manipulating next generation sequencing data in the cloud"	1	"test"
169	"NextClip"	"https://github.com/richardmleggett/nextclip/"	"Tool"	"An analysis and read preparation tool for Nextera Long Mate Pair libraries"	1	"test"
170	"MicrobeDB"	"http://github.com/mlangill/microbedb/"	"Tool"	"A locally maintainable database of microbial genomic sequences"	1	"test"
171	"ClinVar"	"http://www.ncbi.nlm.nih.gov/clinvar/"	"Tool"	"Public archive of relationships among sequence variation and human phenotype"	1	"test"
172	"Alpha-CENTAURI"	"http://github.com/volkansevim/alpha-CENTAURI"	"Tool"	"Assessing novel centromeric repeat sequence variation with long read sequencing"	1	"test"
173	"SAMSCOPE"	"http://samscope.dna.bio.keio.ac.jp"	"Tool"	"An OpenGL-based real-time interactive scale-free SAM viewer"	1	"test"
174	"The Ensembl REST API"	"http://rest.ensembl.org"	"Tool"	"Ensembl Data for Any Language"	1	"test"
175	"Tax4Fun"	"http://tax4fun.gobics.de/"	"Tool"	"Predicting functional profiles from metagenomic 16S rRNA data"	1	"test"
176	"nextflu"	"http://nextflu.org"	"Tool"	"Real-time tracking of seasonal influenza virus evolution in humans"	1	"test"
177	"Qualimap 2"	"http://www.qualimap.org"	"Tool"	"Advanced multi-sample quality control for high-throughput sequencing data"	1	"test"
178	"The Human Phenotype Ontology project"	"http://www.human-phenotype-ontology.org"	"Tool"	"Linking molecular biology and disease through phenotype data"	1	"test"
179	"BUSCO"	"http://busco.ezlab.org"	"Tool"	"Assessing genome assembly and annotation completeness with single-copy orthologs"	1	"test"
180	"PDID"	"http://biomine.ece.ualberta.ca/PDID/"	"Tool"	"Database of molecular-level putative protein–drug interactions in the structural human proteome"	1	"test"
181	"cn.MOPS"	"http://www.bioinf.jku.at/software/cnmops/"	"Tool"	"Mixture of Poissons for discovering copy number variations in next-generation sequencing data with a low false discovery rate"	1	"test"
182	"TEtranscripts"	"http://hammelllab.labsites.cshl.edu/software"	"Tool"	"A package for including transposable elements in differential expression analysis of RNA-seq datasets"	1	"test"
183	"The personal genome browser"	"http://www.pgbrowser.org/"	"Tool"	"Visualizing functions of genetic variants"	1	"test"
184	"TFBSTools"	"http://bioconductor.org/packages/TFBSTools/"	"Tool"	"An R/bioconductor package for transcription factor binding site analysis"	1	"test"
185	"minerva and minepy"	"http://minepy.sourceforge.net"	"Tool"	"A C engine for the MINE suite and its R, Python and MATLAB wrappers"	1	"test"
186	"Seq2pathway"	"http://www.bioconductor.org/packages/release/bioc/html/seq2pathway.html"	"Tool"	"An R/Bioconductor package for pathway analysis of next-generation sequencing data"	1	"test"
187	"cl-dash"	"https://bitbucket.org/booz-allen-sci-comp-team/cl-dash.git"	"Tool"	"Rapid configuration and deployment of Hadoop clusters for bioinformatics research in the cloud"	1	"test"
188	"flowAI"	"http://bioconductor.org/packages/flowAI/"	"Tool"	"Automatic and interactive anomaly discerning tools for flow cytometry data"	1	"test"
189	"BIMA V3"	"http://bioinformaticstools.mayo.edu/research/bima/"	"Tool"	"An aligner customized for mate pair library sequencing"	1	"test"
190	"Bioclipse-R"	"https://github.com/bioclipse"	"Tool"	"Integrating management and visualization of life science data with statistical analysis"	1	"test"
191	"Araport"	"https://www.araport.org"	"Tool"	"The Arabidopsis Information Portal"	1	"test"
192	"NGSCheckMate"	"https://github.com/parklab/NGSCheckMate"	"Tool"	"Software for validating sample identity in next-generation sequencing studies within and across data types"	1	"test"
193	"The Database of Genomic Variants"	"http://dgv.tcag.ca/"	"Tool"	"A curated collection of structural variation in the human genome"	1	"test"
194	"KAnalyze"	"https://sourceforge.net/projects/kanalyze/"	"Tool"	"A fast versatile pipelined K-mer toolkit"	1	"test"
195	"ClicO FS"	"http://clicofs.codoncloud.com"	"Tool"	"An interactive web-based service of Circos"	1	"test"
196	"viRome"	"http://www.ark-genomics.org/bioinformatics/virome"	"Tool"	"An R package for the visualization and analysis of viral small RNA sequence datasets"	1	"test"
197	"CARD 2017"	"http://arpcard.mcmaster.ca"	"Tool"	"Expansion and model-centric curation of the comprehensive antibiotic resistance database"	1	"test"
198	"proGenomes"	"http://progenomes.embl.de"	"Tool"	"A resource for consistent functional and taxonomic annotations of prokaryotic genomes"	1	"test"
199	"PhosphoSitePlus, 2014"	"http://www.phosphosite.org/"	"Tool"	"Mutations, PTMs and recalibrations"	1	"test"
200	"High speed BLASTN"	"https://github.com/chenying2016/queries"	"Tool"	"An accelerated MegaBLAST search tool"	1	"test"
201	"AliView"	"http://ormbunkar.se/aliview"	"Tool"	"A fast and lightweight alignment viewer and editor for large datasets"	1	"test"
202	"A5-miseq"	"http://sourceforge.net/projects/ngopt"	"Tool"	"An updated pipeline to assemble microbial genomes from Illumina MiSeq data"	1	"test"
